Store Size (sq ft),Number of Employees,Advertising Spend ($),Product Variety,Seasonality Index,Customer Foot Traffic,Price Index,Competitor Pricing,Customer Satisfaction Score,Promotional Frequency,Online Sales (%),Product Return Rate (%),Supply Chain Efficiency Index,Economic Index,Market Share (%),Customer Demographics (Age Group),Store Location Type,Weather Impact Index,Store Opening Hours,Advertising Medium Mix (%),Sales ($)
8270,34,63912,233,3,13878,152,136,7.177197307,7,40,21.07223886,84,61.44057882,24.38581617,25-34,Rural,1.77268646,77,30,31239.32047
1860,102,61272,1064,4,16120,234,243,7.202245343,5,11,17.76278977,79,99.89831499,6.038915191,25-34,Rural,10.73956059,75,30,34985.56131
6390,26,43051,1148,2,2986,232,233,6.535658578,5,40,6.296196513,76,71.55426089,4.180262423,45-54,Urban,6.550752333,77,35,31166.97326
6191,47,79854,1313,1,11825,123,122,6.0039439,3,56,11.84345965,95,96.58430013,15.96223119,45-54,Urban,12.16792552,97,40,31759.42749
6734,70,83736,1264,2,10193,127,122,8.55945543,9,52,24.78632367,85,71.53990264,17.20221196,18-24,Urban,10.10812904,84,45,31880.3981
7265,77,66618,757,4,18430,161,147,8.145005907,10,31,8.930205776,78,96.40698906,3.616998212,35-44,Urban,20.66332793,93,62,32659.11049
1466,24,2920,1438,1,3176,116,102,8.071615674,5,19,16.73458157,96,66.78427207,9.250049897,25-34,Rural,6.176188805,63,53,22164.6094
5426,24,78219,1442,4,19722,119,100,7.639515414,6,39,21.8588128,62,88.02714923,8.6201571,35-44,Suburban,5.032526482,64,61,32439.82216
6578,113,77872,1215,2,11047,102,95,8.102908964,3,42,16.73117121,87,97.55010062,6.400426674,45-54,Rural,23.95215739,73,39,30843.30032
9322,115,82132,278,3,17884,242,252,8.807065133,10,28,12.44540516,81,82.29903391,10.15350569,35-44,Urban,23.73791535,60,54,38050.27859
2685,27,3093,1179,2,19617,150,143,7.997021209,7,55,6.604571254,78,83.87826129,2.076146835,35-44,Urban,24.83662412,81,39,25812.87297
1769,83,13905,1278,2,5608,235,219,6.795274206,9,34,12.23329805,75,55.14431227,19.89494371,25-34,Rural,14.20951449,80,42,28535.7622
7949,29,25351,210,2,12906,240,230,7.711680155,9,55,8.641350231,65,73.71099736,29.66612721,25-34,Urban,2.828599015,72,30,31336.51267
3433,57,31981,236,5,8234,102,121,7.32697321,10,10,24.21725633,96,94.3377703,19.38735626,18-24,Urban,22.00419352,95,64,25649.21992
6311,115,74903,331,4,7610,172,156,7.669257393,10,41,19.30063683,90,62.04549181,11.47121707,45-54,Rural,3.627874606,88,43,32106.71935
6051,111,71821,1091,4,11524,204,212,7.552831432,5,34,19.98766309,93,89.41815067,20.36939873,18-24,Rural,3.889858151,97,50,34021.26493
7420,100,83289,567,4,17984,217,207,8.576325856,7,50,13.71938532,90,83.78549429,17.57396171,25-34,Suburban,4.834939187,68,67,36783.39065
2184,114,85021,831,5,14411,133,117,7.95540031,3,26,7.199296563,70,61.14929824,25.55597999,18-24,Suburban,16.33547088,92,30,32481.3969
5555,27,79513,580,3,10180,236,247,6.566275434,6,23,10.33432972,95,64.13956026,19.03436227,35-44,Urban,2.679976331,81,49,36086.56553
4385,44,20874,1191,2,16225,161,176,6.189050337,8,54,10.19422208,65,71.37804501,19.38821428,35-44,Rural,19.45704073,76,34,27475.93357
7396,92,51931,913,3,11073,219,213,7.273091366,8,22,14.73558702,86,56.25646078,7.42826146,25-34,Rural,1.456289899,82,69,32589.68779
9666,85,8674,1372,5,5483,214,212,6.046831867,2,47,14.21959573,66,95.66856486,13.05318992,35-44,Urban,2.761164017,95,61,27392.14521
3558,98,51516,1093,4,6901,112,113,6.954892158,6,48,13.66816435,91,86.96788025,10.98806575,45-54,Urban,10.86217854,65,30,27643.7
8849,69,95574,422,2,7129,168,181,7.104064408,7,11,14.91954933,67,68.248205,1.331330435,25-34,Rural,9.479287549,98,69,34020.88332
3047,86,61686,1021,1,19138,176,172,7.126766622,7,41,24.74046164,92,64.98327477,10.08514115,45-54,Urban,24.74270671,88,31,32594.70602
3747,68,95851,1003,1,19848,100,91,8.938050073,3,41,10.96707261,74,84.47894352,15.09580161,25-34,Rural,24.17159892,86,60,33659.09499
1189,55,70212,705,3,11415,188,192,6.911702631,9,49,17.30538321,86,71.2110461,18.39561036,25-34,Rural,4.742045184,64,55,32694.53196
3734,87,3426,528,4,5482,146,142,6.795682486,2,15,9.790154881,89,61.4668286,28.10249945,35-44,Rural,23.66663863,68,38,23512.84813
4005,97,91009,1392,1,10686,103,92,6.388142793,3,34,14.33212532,81,71.50753765,7.934299021,25-34,Suburban,17.3065476,83,59,31875.56321
5658,60,69498,247,3,8400,109,116,7.533026507,2,12,9.000984663,88,93.56484916,5.420440742,25-34,Urban,10.22107914,78,37,29651.97487
2899,108,30943,1241,5,7806,127,124,6.461022919,9,27,16.16384471,89,53.43033183,26.21392498,18-24,Urban,18.4907733,92,34,25979.84399
8734,81,67395,949,3,11516,220,217,7.848884138,4,59,10.30023573,61,68.41791236,28.31357733,35-44,Suburban,22.50352414,89,68,34301.97234
2267,29,45816,466,3,8396,225,236,6.465479337,2,47,5.735778334,74,98.11697115,15.15067321,45-54,Urban,4.503538845,99,33,31736.13036
2528,40,5138,949,3,8338,233,226,7.730019953,3,52,21.30542183,86,50.74159212,4.341280276,25-34,Suburban,4.899606534,63,69,27980.96614
4556,55,92176,1189,2,10950,239,234,8.478807718,4,12,7.565102242,66,94.53201588,15.07626068,45-54,Urban,10.21801906,91,65,37649.66458
4890,31,76945,912,3,13500,161,158,6.127573901,10,57,12.36077598,86,68.74168493,4.173856486,18-24,Urban,4.230294283,60,50,32736.99249
9838,110,5017,1493,3,12545,166,161,7.259240925,6,14,14.54355218,80,59.47591023,26.61238178,25-34,Urban,9.009937143,93,62,25839.80343
6393,21,11451,274,2,6241,173,169,7.383146902,5,33,13.64960001,72,50.74898737,21.53635303,45-54,Rural,16.14228818,80,55,25489.39877
9792,32,63956,687,2,5695,194,180,8.37321643,3,43,19.51331527,76,53.52614007,7.992973514,35-44,Urban,20.32045313,90,69,31807.22983
9433,72,94863,594,5,12530,242,233,7.403746896,10,56,16.93553192,70,58.59216821,26.71403011,18-24,Urban,7.548373442,73,68,38421.3777
8513,51,11278,1072,4,15312,135,148,7.702607359,8,57,10.90742365,69,51.27046192,19.49915014,18-24,Urban,7.043267095,85,40,25600.77256
3612,114,91480,1237,1,19972,241,230,8.373612761,8,48,6.034059997,92,66.7924934,28.64463676,45-54,Urban,19.49357411,81,50,39006.9717
8041,35,44764,1234,1,15318,211,195,7.679275479,7,57,20.35190237,73,52.24465572,29.43391562,25-34,Rural,9.52565565,93,51,32110.21277
7235,51,2134,1270,3,19166,230,230,7.074898241,3,33,12.05054253,96,84.61080309,1.095171888,25-34,Suburban,20.4618842,92,66,29615.4732
6486,51,63943,134,5,12324,212,194,6.257526833,1,45,22.79449482,67,90.94535568,4.486212062,35-44,Urban,24.83450801,72,36,33578.20958
8099,117,96667,1098,3,4218,209,207,8.189746889,5,37,12.90113547,92,94.37319618,16.86074759,35-44,Urban,24.4917169,91,42,35764.90199
1775,30,55318,1432,1,5016,213,227,8.61341445,1,57,19.35317212,66,77.45640905,28.71973336,25-34,Rural,16.56717387,67,49,31466.39717
9226,29,61128,637,2,3837,166,151,8.910193611,6,58,23.79129406,93,97.32547706,29.83277543,18-24,Suburban,9.380330284,81,44,30261.85199
4152,34,89056,849,4,17312,225,218,8.779799642,7,43,18.02304901,66,50.28227253,17.45483012,35-44,Urban,1.637246487,100,67,37328.40733
2585,36,22869,1137,5,8034,185,168,8.392253726,5,25,13.26977827,66,56.70091611,6.040243179,35-44,Urban,18.45101582,79,63,27292.76749
4943,59,6039,473,2,8309,118,115,7.930415797,4,45,16.34798538,95,64.65829904,5.72845058,18-24,Urban,24.44918103,80,65,23416.57082
8555,37,22281,656,4,15379,168,176,8.344380437,2,16,15.86890377,66,89.4512221,23.15187499,25-34,Urban,1.69961158,93,54,28010.49568
4073,74,11442,332,5,5239,109,123,7.296251139,5,27,16.69640073,79,94.26945701,18.16619268,45-54,Rural,0.154192766,89,58,23269.11372
2021,92,74788,804,5,13128,240,257,7.784328644,9,15,7.936399713,77,80.90672257,16.91444307,35-44,Urban,20.79440491,65,57,36134.37288
4843,44,28586,662,1,16856,227,222,7.046099427,4,59,18.97019765,73,69.16181722,14.50718278,18-24,Rural,2.556474051,94,43,31425.59367
8989,78,54053,1038,2,10611,198,197,6.980127645,2,37,7.900865433,99,83.29228018,22.02890417,35-44,Urban,2.040574511,86,33,31945.45941
7873,97,51489,986,5,5150,131,134,8.27007532,6,48,5.292337686,73,59.0449686,25.88357119,18-24,Urban,22.75840171,79,67,27965.15465
6675,108,84104,825,5,12109,211,225,7.361798347,8,43,17.49560201,80,72.89370261,9.785784355,35-44,Rural,1.989020292,97,36,35566.74587
1161,41,87346,1398,4,2446,123,121,6.636483789,2,60,7.338271444,86,75.37720492,7.406615248,25-34,Urban,2.850441369,99,42,30700.95655
5297,49,68087,175,1,12936,134,117,6.605814486,9,50,20.40823273,85,55.24356105,20.43577582,18-24,Suburban,14.23934188,73,46,30722.90576
1995,103,13625,538,3,12036,182,194,8.577517085,7,38,22.31931907,86,51.69363301,27.5272403,45-54,Rural,18.92035433,69,58,26807.57173
8629,104,35397,798,1,7468,169,150,8.033281483,2,13,23.89473581,83,87.50527487,11.09656576,45-54,Rural,9.989306468,74,46,28237.45516
2016,63,59671,1412,3,15021,208,200,7.63813822,5,23,18.28953926,64,76.73531796,8.900998356,35-44,Urban,10.51472902,99,65,33175.13111
8869,51,92785,1014,2,5175,198,207,7.202816208,5,14,14.64029786,97,66.61193509,7.557324277,45-54,Urban,15.81564968,62,48,34882.94086
7439,70,67897,990,2,16390,132,145,7.292452172,7,34,12.04562161,87,71.86143158,8.380236323,35-44,Suburban,12.63563237,74,55,31406.03239
8892,65,27149,791,5,6080,155,164,6.172305583,5,48,14.81850188,91,97.88517066,4.913066946,18-24,Urban,0.465707319,90,38,26766.55518
7863,40,61030,352,2,16471,246,249,7.364730435,6,17,8.807044567,83,69.2456886,18.3065686,18-24,Urban,2.839579657,70,31,35839.324
8916,118,70906,1249,5,15893,111,123,8.386364732,9,24,11.96845296,65,55.17396133,9.143955991,45-54,Urban,14.54000039,98,49,30984.95181
9529,51,6283,1300,1,18248,110,99,7.16395944,3,28,19.3586105,69,73.18010898,18.83338649,45-54,Suburban,19.84156274,78,52,24952.42035
1878,113,8610,1160,2,17009,169,166,7.150743758,3,20,9.348459423,62,82.40241867,3.407938136,25-34,Urban,19.07757864,74,47,26577.30147
5887,58,44326,509,1,7217,239,237,6.047149749,8,29,10.28134271,66,50.6056558,4.348246971,18-24,Rural,18.50141398,97,55,32164.6555
5859,31,15924,226,1,6672,140,126,7.373505788,10,45,19.98656511,88,66.617028,16.54811591,45-54,Suburban,19.28181541,79,54,24852.26635
7331,66,77162,1291,2,2502,205,203,6.076012959,6,27,8.556718717,93,69.67572101,15.83439739,45-54,Urban,1.111086908,81,46,33206.44277
9571,37,1869,691,1,2410,102,105,7.711048284,10,23,9.917751729,66,73.18574229,8.873787875,45-54,Rural,22.37753912,66,68,21856.66278
9684,40,98088,393,2,4770,102,96,7.520350145,3,47,5.350951256,76,65.08420968,24.9867947,35-44,Urban,22.23207763,73,39,31828.10777
8208,32,2014,1466,2,11097,183,185,8.520025497,2,34,19.40103199,72,83.34611292,6.424367781,25-34,Urban,13.29809973,63,54,25995.9499
6276,40,11103,1119,2,5001,206,189,7.745341833,2,25,17.35807131,80,97.23546119,11.4591726,18-24,Urban,6.214858307,68,57,27029.44172
